Date,portfolio_value
2025-10-31,214882.35044051276
2025-11-03,215242.91992114438
2025-11-04,215313.5208389028
2025-11-05,215776.71644663523
2025-11-06,215941.01165653084
2025-11-07,216005.16693209545
2025-11-10,216443.59876690333
2025-11-11,217263.82462299248
2025-11-12,217656.79539084993
2025-11-13,217178.9927957653
2025-11-14,216915.39833861712
2025-11-17,217114.62415130116
2025-11-18,216795.65529245374
2025-11-19,216964.14329129478
2025-11-20,216599.04560307285
2025-11-21,217458.86507431528
2025-11-24,218695.06377831014
2025-11-25,220089.68510546413
2025-11-26,220629.6313450029
2025-11-28,221210.54226330575
2025-12-01,220865.24642637148
2025-12-02,222388.6282360062
2025-12-03,223032.21655375752
2025-12-04,223113.00595106147
2025-12-05,223337.1623903981
2025-12-08,223529.104821145
2025-12-09,223383.52953479203
2025-12-10,223748.4941314319
2025-12-11,223934.4365071383
2025-12-12,224220.4019298179
2025-12-15,224290.1548978192
2025-12-16,224191.77334935436
2025-12-17,224143.30790257247
2025-12-18,224515.83845904353
2025-12-19,225180.30101052346
2025-12-22,225688.30184318678
2025-12-23,226131.4288390577
2025-12-24,226256.6225629406
2025-12-26,226255.98383270545
2025-12-29,226263.27791883488
2025-12-30,226413.57739546997
2025-12-31,226014.64442546098
2026-01-02,227983.54628043907
2026-01-05,229332.95747096406
2026-01-06,230088.14779382356
2026-01-07,229607.07002561394
2026-01-08,230391.37999788916
2026-01-09,231207.4316498781
2026-01-12,232347.36648213957
2026-01-13,233248.71798968606
2026-01-14,233585.51202701294
2026-01-15,234479.02712137168
2026-01-16,234467.4586476103
2026-01-20,234150.9963357836
2026-01-21,235154.6785190886
2026-01-22,235791.9733208046
2026-01-23,235695.09175420454
2026-01-26,236298.17098028396
2026-01-27,236869.18423840354
2026-01-28,236880.94452000968
2026-01-29,237730.02937280686
2026-01-30,237524.67171373882
2026-02-02,238030.8538964495
2026-02-03,238721.5650861188
2026-02-04,238780.35473635004
2026-02-05,238234.41995038203
2026-02-06,239773.1149361067
2026-02-09,240204.08864696033
2026-02-10,239912.86790039676
2026-02-11,240175.49480371265
2026-02-12,240448.25045343302
2026-02-13,240408.00396909713
